release_date,release_year,title,genre,production_method,creative_type,budget,domestic_gross,international_gross,worldwide_gross,release_month
2001-11-16,2001,Harry Potter and the Sorcerer’s Stone,Adventure,Animation/Live Action,Fantasy,125000000,317871467,645795806,963667273,November
2001-12-19,2001,The Lord of the Rings: The Fellowship…,Adventure,Animation/Live Action,Fantasy,93000000,315544750,575665289,891210039,December
2001-11-02,2001,"Monsters, Inc.",Adventure,Digital Animation,Kids Fiction,115000000,290149425,270334294,560483719,November
2001-05-18,2001,Shrek,Adventure,Digital Animation,Kids Fiction,50000000,267655011,224157783,491812794,May
2001-08-03,2001,Rush Hour 2,Action,Live Action,Contemporary Fiction,90000000,226164286,121261546,347425832,August
2001-05-04,2001,The Mummy Returns,Adventure,Live Action,Fantasy,98000000,202007640,233032755,435040395,May
2001-05-25,2001,Pearl Harbor,Action,Live Action,Dramatization,151500000,198539855,250699998,449239853,May
2001-12-07,2001,Ocean's Eleven,Thriller/Suspense,Live Action,Contemporary Fiction,85000000,183417150,267311379,450728529,December
2001-07-18,2001,Jurassic Park III,Action,Animation/Live Action,Science Fiction,93000000,181166115,184733885,365900000,July
2001-07-27,2001,Planet of the Apes,Adventure,Live Action,Science Fiction,100000000,180011740,182200000,362211740,July
2001-12-21,2001,A Beautiful Mind,Drama,Live Action,Dramatization,78000000,170708996,146959062,317668058,December
2001-02-09,2001,Hannibal,Horror,Live Action,Contemporary Fiction,87000000,165092266,185008014,350100280,February
2001-08-10,2001,American Pie 2,Comedy,Live Action,Contemporary Fiction,30000000,145096820,141403180,286500000,August
2001-06-22,2001,The Fast and the Furious,Action,Live Action,Contemporary Fiction,38000000,144512310,61946062,206458372,June
2001-06-15,2001,Lara Croft: Tomb Raider,Adventure,Live Action,Contemporary Fiction,94000000,131144183,142186002,273330185,June
2001-06-22,2001,Dr. Dolittle 2,Adventure,Live Action,Kids Fiction,72000000,112950721,63151000,176101721,June
2001-03-30,2001,Spy Kids,Adventure,Live Action,Kids Fiction,35000000,112692062,85000000,197692062,March
2001-12-28,2001,Black Hawk Down,Action,Live Action,Dramatization,95000000,108638745,51052340,159691085,December
2001-08-03,2001,The Princess Diaries,Comedy,Live Action,Contemporary Fiction,30000000,108244774,57090000,165334774,August
2001-12-14,2001,Vanilla Sky,Thriller/Suspense,Live Action,Contemporary Fiction,70000000,100614858,102111747,202726605,December
2001-08-10,2001,The Others,Horror,Live Action,Historical Fiction,17000000,96545842,111242369,207788211,August
2001-07-13,2001,Legally Blonde,Comedy,Live Action,Contemporary Fiction,18000000,96493426,45315809,141809235,July
2001-07-20,2001,America's Sweethearts,Romantic Comedy,Live Action,Contemporary Fiction,46000000,93607673,67040820,160648493,July
2001-07-04,2001,Cats & Dogs,Comedy,Live Action,Contemporary Fiction,60000000,93375151,107324849,200700000,July
2001-01-12,2001,Save the Last Dance,Drama,Live Action,Contemporary Fiction,13000000,91038276,31206053,122244329,January
2001-06-08,2001,Atlantis: The Lost Empire,Adventure,Hand Animation,Kids Fiction,90000000,84052762,101996258,186049020,June
2001-12-21,2001,Jimmy Neutron: Boy Genius,Adventure,Digital Animation,Kids Fiction,25000000,80936232,22056304,102992536,December
2001-06-29,2001,Artificial Intelligence: AI,Drama,Animation/Live Action,Science Fiction,90000000,78616689,157283311,235900000,June
2001-10-05,2001,Training Day,Thriller/Suspense,Live Action,Contemporary Fiction,45000000,76261036,28244316,104505352,October
2001-04-06,2001,Along Came a Spider,Thriller/Suspense,Live Action,Contemporary Fiction,28000000,74058698,31100387,105159085,April
2001-04-13,2001,Bridget Jones's Diary,Romantic Comedy,Live Action,Contemporary Fiction,25000000,71500556,201094497,272595053,April
2001-07-04,2001,Scary Movie 2,Comedy,Live Action,Contemporary Fiction,45000000,71277420,69911681,141189101,July
2001-07-13,2001,The Score,Thriller/Suspense,Live Action,Contemporary Fiction,68000000,71069884,42472207,113542091,July
2001-11-09,2001,Shallow Hal,Romantic Comedy,Live Action,Contemporary Fiction,40000000,70836296,0,70836296,November
2001-06-08,2001,Swordfish,Action,Live Action,Contemporary Fiction,80000000,69772969,77307444,147080413,June
2001-03-02,2001,The Mexican,Action,Live Action,Contemporary Fiction,40000000,66808615,78429635,145238250,March
2001-02-16,2001,Down to Earth,Comedy,Live Action,Contemporary Fiction,30000000,64172251,7000000,71172251,February
2001-11-21,2001,Spy Game,Action,Live Action,Contemporary Fiction,90000000,62362560,80687000,143049560,November
2001-01-26,2001,The Wedding Planner,Romantic Comedy,Live Action,Contemporary Fiction,28000000,60400856,34327673,94728529,January
2001-11-30,2001,Behind Enemy Lines,Action,Live Action,Historical Fiction,40000000,58855732,0,58855732,November
2001-12-25,2001,Ali,Drama,Live Action,Dramatization,109000000,58183966,29500000,87683966,December
2001-05-18,2001,Moulin Rouge,Musical,Live Action,Historical Fiction,53000000,57386369,121813167,179199536,May
2001-08-17,2001,Rat Race,Comedy,Live Action,Contemporary Fiction,48000000,56607223,30000000,86607223,August
2001-05-11,2001,A Knight’s Tale,Adventure,Live Action,Historical Fiction,41000000,56083966,44538620,100622586,May
2001-06-01,2001,The Animal,Comedy,Live Action,Contemporary Fiction,22000000,55762229,0,55762229,June
2001-09-28,2001,Don’t Say a Word,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,54997476,49490907,104488383,September
2001-04-06,2001,Blow,Drama,Live Action,Dramatization,30000000,52990775,30291521,83282296,April
2001-12-14,2001,The Royal Tenenbaums,Black Comedy,Live Action,Contemporary Fiction,28000000,52353636,19077240,71430876,December
2001-03-16,2001,Exit Wounds,Action,Live Action,Contemporary Fiction,33000000,51758599,28200000,79958599,March
2001-03-16,2001,Enemy at the Gates,Drama,Live Action,Historical Fiction,85000000,51396781,45574512,96971293,March
2001-08-13,2001,K-PAX,Drama,Live Action,Science Fiction,48000000,50315140,14663000,64978140,August
2001-10-05,2001,Serendipity,Romantic Comedy,Live Action,Contemporary Fiction,28000000,50255310,27221987,77477297,October
2001-12-25,2001,Kate and Leopold,Romantic Comedy,Live Action,Fantasy,48000000,47095453,23842325,70937778,December
2001-11-02,2001,Domestic Disturbance,Thriller/Suspense,Live Action,Contemporary Fiction,53000000,45207112,9000000,54207112,November
2001-09-28,2001,Zoolander,Comedy,Live Action,Contemporary Fiction,28000000,45172250,15608731,60780981,September
2001-11-02,2001,The One,Action,Live Action,Science Fiction,49000000,43905746,28783380,72689126,November
2001-10-26,2001,Thirteen Ghosts,Horror,Live Action,Fantasy,19000000,41867960,26600000,68467960,October
2001-10-12,2001,Bandits,Comedy,Live Action,Contemporary Fiction,75000000,41523271,30000000,71523271,October
2001-12-26,2001,Gosford Park,Comedy,Live Action,Historical Fiction,18000000,41300105,16971781,58271886,December
2001-03-23,2001,Heartbreakers,Comedy,Live Action,Contemporary Fiction,38000000,40334024,17419801,57753825,March
2001-12-28,2001,I Am Sam,Drama,Live Action,Contemporary Fiction,22000000,40270895,52271523,92542418,December
2001-09-14,2001,Hardball,Drama,Live Action,Dramatization,21000000,40222729,3505831,43728560,September
2001-06-08,2001,Evolution,Comedy,Live Action,Contemporary Fiction,80000000,38311134,60030798,98341932,June
2001-08-31,2001,Jeepers Creepers,Horror,Live Action,Contemporary Fiction,10000000,37904175,21034860,58939035,August
2001-12-14,2001,Not Another Teen Movie,Comedy,Live Action,Contemporary Fiction,15000000,37882551,24518792,62401343,December
2001-07-06,2001,Kiss of the Dragon,Action,Live Action,Contemporary Fiction,25000000,36833473,0,36833473,July
2001-02-16,2001,Recess: School's Out,Adventure,Live Action,Kids Fiction,10000000,36696761,7754709,44451470,February
2001-11-23,2001,In the Bedroom,Drama,Live Action,Contemporary Fiction,1700000,35930604,6207267,42137871,November
2001-11-21,2001,Black Knight,Adventure,Live Action,Kids Fiction,35000000,33422806,0,33422806,November
2001-03-02,2001,See Spot Run,Adventure,Live Action,Kids Fiction,16000000,33357476,9700076,43057552,March
2001-11-02,2001,Le Fabuleux destin d'Amélie Poulain,Romantic Comedy,Live Action,Contemporary Fiction,10350000,33201661,140994099,174195760,November
2001-04-27,2001,Driven,Action,Live Action,Contemporary Fiction,72000000,32616869,22000000,54616869,April
2001-06-01,2001,What's the Worst That Could Happen?,Comedy,Live Action,Contemporary Fiction,30000000,32267774,6194297,38462071,June
2001-07-11,2001,Final Fantasy: The Spirits Within,Adventure,Digital Animation,Science Fiction,137000000,32131830,53000000,85131830,July
2001-10-19,2001,From Hell,Thriller/Suspense,Live Action,Historical Fiction,35000000,31598308,37114057,68712365,October
2001-12-26,2001,Monster's Ball,Drama,Live Action,Contemporary Fiction,4000000,31273922,12492541,43766463,December
2001-12-21,2001,How High,Comedy,Live Action,Contemporary Fiction,12000000,31155435,66960,31222395,December
2001-08-24,2001,Jay and Silent Bob Strike Back,Comedy,Live Action,Contemporary Fiction,22000000,30059386,3703014,33762400,August
2001-01-12,2001,Double Take,Action,Live Action,Contemporary Fiction,24000000,29823162,0,29823162,January
2001-10-19,2001,Riding in Cars with Boys,Drama,Live Action,Dramatization,47000000,29781453,0,29781453,October
2001-06-27,2001,Baby Boy,Drama,Live Action,Contemporary Fiction,16000000,28734552,0,28734552,June
2001-12-21,2001,The Majestic,Drama,Live Action,Historical Fiction,72000000,27796042,9510292,37306334,December
2001-03-23,2001,The Brothers,Comedy,Live Action,Contemporary Fiction,6000000,27457409,500782,27958191,March
2001-03-30,2001,Someone Like You,Romantic Comedy,Live Action,Contemporary Fiction,23000000,27338033,11346873,38684906,March
2001-04-11,2001,Joe Dirt,Comedy,Live Action,Contemporary Fiction,16000000,27087695,3900000,30987695,April
2001-09-07,2001,The Musketeer,Adventure,Live Action,Historical Fiction,40000000,27053815,0,27053815,September
2001-04-20,2001,Crocodile Dundee in Los Angeles,Adventure,Live Action,Contemporary Fiction,25000000,25590119,13802992,39393111,April
2001-03-16,2001,Memento,Thriller/Suspense,Live Action,Contemporary Fiction,5000000,25544867,14174564,39719431,March
2001-08-17,2001,Captain Corelli's Mandolin,Drama,Live Action,Historical Fiction,57000000,25528495,36569000,62097495,August
2001-02-16,2001,Sweet November,Drama,Live Action,Contemporary Fiction,40000000,25288103,40466125,65754228,February
2001-03-09,2001,15 Minutes,Thriller/Suspense,Live Action,Contemporary Fiction,42000000,24375436,31956428,56331864,March
2001-09-28,2001,Hearts in Atlantis,Drama,Live Action,Fantasy,31000000,24185781,6700000,30885781,September
2001-05-18,2001,Angel Eyes,Drama,Live Action,Contemporary Fiction,38000000,24044532,5500000,29544532,May
2001-10-12,2001,Corky Romano,Comedy,Live Action,Contemporary Fiction,11000000,23978402,1137701,25116103,October
2001-11-09,2001,Heist,Action,Live Action,Contemporary Fiction,35000000,23483357,5423460,28906817,November
2001-04-11,2001,Kingdom Come,Comedy,Live Action,Contemporary Fiction,7000000,23247539,146400,23393939,April
2001-12-21,2001,Joe Somebody,Comedy,Live Action,Contemporary Fiction,38000000,22770864,1745126,24515990,December
2001-09-07,2001,Two Can Play That Game,Romantic Comedy,Live Action,Contemporary Fiction,13000000,22235901,155549,22391450,September
2001-10-05,2001,Joy Ride,Thriller/Suspense,Live Action,Contemporary Fiction,23000000,21973182,231708,22204890,October
2001-02-02,2001,Valentine,Horror,Live Action,Contemporary Fiction,10000000,20384136,0,20384136,February
2002-05-03,2002,Spider-Man,Adventure,Live Action,Super Hero,139000000,403706375,418000000,821706375,May
2002-12-18,2002,The Lord of the Rings: The Two Towers,Adventure,Animation/Live Action,Fantasy,94000000,342548984,576599780,919148764,December
2002-05-16,2002,Star Wars Ep. II: Attack of the Clones,Adventure,Animation/Live Action,Science Fiction,115000000,310676740,346018875,656695615,May
2002-11-15,2002,Harry Potter and the Chamber of Secrets,Adventure,Animation/Live Action,Fantasy,100000000,262233381,612720847,874954228,November
2002-04-19,2002,My Big Fat Greek Wedding,Romantic Comedy,Live Action,Contemporary Fiction,5000000,241438208,133451826,374890034,April
2002-08-02,2002,Signs,Thriller/Suspense,Live Action,Science Fiction,70702619,227969295,180281283,408250578,August
2002-07-25,2002,Austin Powers in Goldmember,Comedy,Live Action,Contemporary Fiction,63000000,213117789,83220874,296338663,July
2002-07-03,2002,Men in Black 2,Action,Animation/Live Action,Science Fiction,140000000,190418803,251349000,441767803,July
2002-03-15,2002,Ice Age,Adventure,Digital Animation,Kids Fiction,65000000,176387405,209728938,386116343,March
2002-12-27,2002,Chicago,Musical,Live Action,Historical Fiction,30000000,170687518,136083027,306770545,December
2002-12-25,2002,Catch Me if You Can,Drama,Live Action,Dramatization,52000000,164606800,191005491,355612291,December
2002-11-22,2002,Die Another Day,Action,Live Action,Contemporary Fiction,142000000,160942139,271000000,431942139,November
2002-06-14,2002,Scooby-Doo,Adventure,Live Action,Kids Fiction,84000000,153294164,123000000,276294164,June
2002-06-21,2002,Lilo & Stitch,Adventure,Hand Animation,Kids Fiction,80000000,145771527,100028470,245799997,June
2002-08-09,2002,xXx,Action,Live Action,Contemporary Fiction,70000000,141930000,125270000,267200000,August
2002-11-01,2002,The Santa Clause 2,Adventure,Live Action,Kids Fiction,65000000,139225854,33618738,172844592,November
2002-06-21,2002,Minority Report,Action,Live Action,Science Fiction,102000000,132024714,226800000,358824714,June
2002-10-18,2002,The Ring,Horror,Live Action,Contemporary Fiction,48000000,129094024,119124462,248218486,October
