Unnamed: 0,Released,Released.1,Title,Genre,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
1,"Nov 16, 2001",2001,Harry Potter and the Sorcerer’s Stone,Adventure,Animation/Live Action,Fantasy,"$125,000,000","$317,871,467","$645,795,806","$963,667,273"
2,"Dec 19, 2001",2001,The Lord of the Rings: The Fellowship…,Adventure,Animation/Live Action,Fantasy,"$93,000,000","$315,544,750","$575,665,289","$891,210,039"
3,"Nov 2, 2001",2001,"Monsters, Inc.",Adventure,Digital Animation,Kids Fiction,"$115,000,000","$290,149,425","$270,334,294","$560,483,719"
4,"May 18, 2001",2001,Shrek,Adventure,Digital Animation,Kids Fiction,"$50,000,000","$267,655,011","$224,157,783","$491,812,794"
5,"Aug 3, 2001",2001,Rush Hour 2,Action,Live Action,Contemporary Fiction,"$90,000,000","$226,164,286","$121,261,546","$347,425,832"
6,"May 4, 2001",2001,The Mummy Returns,Adventure,Live Action,Fantasy,"$98,000,000","$202,007,640","$233,032,755","$435,040,395"
7,"May 25, 2001",2001,Pearl Harbor,Action,Live Action,Dramatization,"$151,500,000","$198,539,855","$250,699,998","$449,239,853"
8,"Dec 7, 2001",2001,Ocean's Eleven,Thriller/Suspense,Live Action,Contemporary Fiction,"$85,000,000","$183,417,150","$267,311,379","$450,728,529"
9,"Jul 18, 2001",2001,Jurassic Park III,Action,Animation/Live Action,Science Fiction,"$93,000,000","$181,166,115","$184,733,885","$365,900,000"
10,"Jul 27, 2001",2001,Planet of the Apes,Adventure,Live Action,Science Fiction,"$100,000,000","$180,011,740","$182,200,000","$362,211,740"
11,"Dec 21, 2001",2001,A Beautiful Mind,Drama,Live Action,Dramatization,"$78,000,000","$170,708,996","$146,959,062","$317,668,058"
12,"Feb 9, 2001",2001,Hannibal,Horror,Live Action,Contemporary Fiction,"$87,000,000","$165,092,266","$185,008,014","$350,100,280"
13,"Aug 10, 2001",2001,American Pie 2,Comedy,Live Action,Contemporary Fiction,"$30,000,000","$145,096,820","$141,403,180","$286,500,000"
14,"Jun 22, 2001",2001,The Fast and the Furious,Action,Live Action,Contemporary Fiction,"$38,000,000","$144,512,310","$61,946,062","$206,458,372"
15,"Jun 15, 2001",2001,Lara Croft: Tomb Raider,Adventure,Live Action,Contemporary Fiction,"$94,000,000","$131,144,183","$142,186,002","$273,330,185"
16,"Jun 22, 2001",2001,Dr. Dolittle 2,Adventure,Live Action,Kids Fiction,"$72,000,000","$112,950,721","$63,151,000","$176,101,721"
17,"Mar 30, 2001",2001,Spy Kids,Adventure,Live Action,Kids Fiction,"$35,000,000","$112,692,062","$85,000,000","$197,692,062"
18,"Dec 28, 2001",2001,Black Hawk Down,Action,Live Action,Dramatization,"$95,000,000","$108,638,745","$51,052,340","$159,691,085"
19,"Aug 3, 2001",2001,The Princess Diaries,Comedy,Live Action,Contemporary Fiction,"$30,000,000","$108,244,774","$57,090,000","$165,334,774"
20,"Dec 14, 2001",2001,Vanilla Sky,Thriller/Suspense,Live Action,Contemporary Fiction,"$70,000,000","$100,614,858","$102,111,747","$202,726,605"
21,"Aug 10, 2001",2001,The Others,Horror,Live Action,Historical Fiction,"$17,000,000","$96,545,842","$111,242,369","$207,788,211"
22,"Jul 13, 2001",2001,Legally Blonde,Comedy,Live Action,Contemporary Fiction,"$18,000,000","$96,493,426","$45,315,809","$141,809,235"
23,"Jul 20, 2001",2001,America's Sweethearts,Romantic Comedy,Live Action,Contemporary Fiction,"$46,000,000","$93,607,673","$67,040,820","$160,648,493"
24,"Jul 4, 2001",2001,Cats & Dogs,Comedy,Live Action,Contemporary Fiction,"$60,000,000","$93,375,151","$107,324,849","$200,700,000"
25,"Jan 12, 2001",2001,Save the Last Dance,Drama,Live Action,Contemporary Fiction,"$13,000,000","$91,038,276","$31,206,053","$122,244,329"
26,"Jun 8, 2001",2001,Atlantis: The Lost Empire,Adventure,Hand Animation,Kids Fiction,"$90,000,000","$84,052,762","$101,996,258","$186,049,020"
27,"Dec 21, 2001",2001,Jimmy Neutron: Boy Genius,Adventure,Digital Animation,Kids Fiction,"$25,000,000","$80,936,232","$22,056,304","$102,992,536"
28,"Jun 29, 2001",2001,Artificial Intelligence: AI,Drama,Animation/Live Action,Science Fiction,"$90,000,000","$78,616,689","$157,283,311","$235,900,000"
29,"Oct 5, 2001",2001,Training Day,Thriller/Suspense,Live Action,Contemporary Fiction,"$45,000,000","$76,261,036","$28,244,316","$104,505,352"
30,"Apr 6, 2001",2001,Along Came a Spider,Thriller/Suspense,Live Action,Contemporary Fiction,"$28,000,000","$74,058,698","$31,100,387","$105,159,085"
31,"Apr 13, 2001",2001,Bridget Jones's Diary,Romantic Comedy,Live Action,Contemporary Fiction,"$25,000,000","$71,500,556","$201,094,497","$272,595,053"
32,"Jul 4, 2001",2001,Scary Movie 2,Comedy,Live Action,Contemporary Fiction,"$45,000,000","$71,277,420","$69,911,681","$141,189,101"
33,"Jul 13, 2001",2001,The Score,Thriller/Suspense,Live Action,Contemporary Fiction,"$68,000,000","$71,069,884","$42,472,207","$113,542,091"
34,"Nov 9, 2001",2001,Shallow Hal,Romantic Comedy,Live Action,Contemporary Fiction,"$40,000,000","$70,836,296",$0,"$70,836,296"
35,"Jun 8, 2001",2001,Swordfish,Action,Live Action,Contemporary Fiction,"$80,000,000","$69,772,969","$77,307,444","$147,080,413"
36,"Mar 2, 2001",2001,The Mexican,Action,Live Action,Contemporary Fiction,"$40,000,000","$66,808,615","$78,429,635","$145,238,250"
37,"Feb 16, 2001",2001,Down to Earth,Comedy,Live Action,Contemporary Fiction,"$30,000,000","$64,172,251","$7,000,000","$71,172,251"
38,"Nov 21, 2001",2001,Spy Game,Action,Live Action,Contemporary Fiction,"$90,000,000","$62,362,560","$80,687,000","$143,049,560"
39,"Jan 26, 2001",2001,The Wedding Planner,Romantic Comedy,Live Action,Contemporary Fiction,"$28,000,000","$60,400,856","$34,327,673","$94,728,529"
40,"Nov 30, 2001",2001,Behind Enemy Lines,Action,Live Action,Historical Fiction,"$40,000,000","$58,855,732",$0,"$58,855,732"
41,"Dec 25, 2001",2001,Ali,Drama,Live Action,Dramatization,"$109,000,000","$58,183,966","$29,500,000","$87,683,966"
42,"May 18, 2001",2001,Moulin Rouge,Musical,Live Action,Historical Fiction,"$53,000,000","$57,386,369","$121,813,167","$179,199,536"
43,"Aug 17, 2001",2001,Rat Race,Comedy,Live Action,Contemporary Fiction,"$48,000,000","$56,607,223","$30,000,000","$86,607,223"
44,"May 11, 2001",2001,A Knight’s Tale,Adventure,Live Action,Historical Fiction,"$41,000,000","$56,083,966","$44,538,620","$100,622,586"
45,"Jun 1, 2001",2001,The Animal,Comedy,Live Action,Contemporary Fiction,"$22,000,000","$55,762,229",$0,"$55,762,229"
46,"Sep 28, 2001",2001,Don’t Say a Word,Thriller/Suspense,Live Action,Contemporary Fiction,"$50,000,000","$54,997,476","$49,490,907","$104,488,383"
47,"Apr 6, 2001",2001,Blow,Drama,Live Action,Dramatization,"$30,000,000","$52,990,775","$30,291,521","$83,282,296"
48,"Dec 14, 2001",2001,The Royal Tenenbaums,Black Comedy,Live Action,Contemporary Fiction,"$28,000,000","$52,353,636","$19,077,240","$71,430,876"
49,"Mar 16, 2001",2001,Exit Wounds,Action,Live Action,Contemporary Fiction,"$33,000,000","$51,758,599","$28,200,000","$79,958,599"
50,"Mar 16, 2001",2001,Enemy at the Gates,Drama,Live Action,Historical Fiction,"$85,000,000","$51,396,781","$45,574,512","$96,971,293"
51,"Aug 13, 2001",2001,K-PAX,Drama,Live Action,Science Fiction,"$48,000,000","$50,315,140","$14,663,000","$64,978,140"
52,"Oct 5, 2001",2001,Serendipity,Romantic Comedy,Live Action,Contemporary Fiction,"$28,000,000","$50,255,310","$27,221,987","$77,477,297"
53,"Dec 25, 2001",2001,Kate and Leopold,Romantic Comedy,Live Action,Fantasy,"$48,000,000","$47,095,453","$23,842,325","$70,937,778"
54,"Nov 2, 2001",2001,Domestic Disturbance,Thriller/Suspense,Live Action,Contemporary Fiction,"$53,000,000","$45,207,112","$9,000,000","$54,207,112"
55,"Sep 28, 2001",2001,Zoolander,Comedy,Live Action,Contemporary Fiction,"$28,000,000","$45,172,250","$15,608,731","$60,780,981"
56,"Nov 2, 2001",2001,The One,Action,Live Action,Science Fiction,"$49,000,000","$43,905,746","$28,783,380","$72,689,126"
57,"Oct 26, 2001",2001,Thirteen Ghosts,Horror,Live Action,Fantasy,"$19,000,000","$41,867,960","$26,600,000","$68,467,960"
58,"Oct 12, 2001",2001,Bandits,Comedy,Live Action,Contemporary Fiction,"$75,000,000","$41,523,271","$30,000,000","$71,523,271"
59,"Dec 26, 2001",2001,Gosford Park,Comedy,Live Action,Historical Fiction,"$18,000,000","$41,300,105","$16,971,781","$58,271,886"
60,"Mar 23, 2001",2001,Heartbreakers,Comedy,Live Action,Contemporary Fiction,"$38,000,000","$40,334,024","$17,419,801","$57,753,825"
61,"Dec 28, 2001",2001,I Am Sam,Drama,Live Action,Contemporary Fiction,"$22,000,000","$40,270,895","$52,271,523","$92,542,418"
62,"Sep 14, 2001",2001,Hardball,Drama,Live Action,Dramatization,"$21,000,000","$40,222,729","$3,505,831","$43,728,560"
63,"Jun 8, 2001",2001,Evolution,Comedy,Live Action,Contemporary Fiction,"$80,000,000","$38,311,134","$60,030,798","$98,341,932"
64,"Aug 31, 2001",2001,Jeepers Creepers,Horror,Live Action,Contemporary Fiction,"$10,000,000","$37,904,175","$21,034,860","$58,939,035"
65,"Dec 14, 2001",2001,Not Another Teen Movie,Comedy,Live Action,Contemporary Fiction,"$15,000,000","$37,882,551","$24,518,792","$62,401,343"
